 	Area	StdDev	XM	YM	Slice
1	1981	988.592	72.550	80.354	53
2	1953	1013.193	72.843	80.703	54
3	1932	1021.583	74.016	80.309	55
4	1904	1021.603	73.194	80.611	56
5	1883	1033.493	74.288	80.463	57
6	1860	1043.240	75.772	81.385	58
7	1839	1045.024	75.820	82.310	59
8	1817	1047.856	75.630	82.747	60
9	1784	1056.646	76.306	83.136	61
10	1769	1063.644	75.975	82.679	62
11	1750	1069.046	76.552	83.562	63
12	1720	1079.995	77.606	84.743	64
13	1702	1092.057	78.033	85.060	65
14	1685	1108.891	77.318	85.947	66
15	1672	1129.096	78.213	84.441	67
16	1643	1147.379	77.640	84.794	68
17	1624	1165.518	77.066	85.114	69
18	1597	1187.645	76.587	85.412	70
19	1579	1205.613	76.811	85.196	71
20	1557	1229.480	77.213	86.468	72
21	1542	1232.205	77.144	86.759	73
22	1530	1244.298	77.885	86.984	74
23	1502	1268.131	77.671	84.848	75
24	1483	1275.227	77.411	87.439	76
25	1468	1289.529	77.603	85.720	77
26	1441	1314.564	77.733	85.118	78
27	1433	1312.864	77.746	87.156	79
28	1416	1335.338	78.678	87.173	80
29	1404	1351.293	78.520	85.538	81
30	1385	1367.134	78.885	85.776	82
31	1373	1376.364	79.396	86.575	83
32	1358	1398.144	77.956	85.140	84
33	1334	1420.553	78.336	85.929	85
34	1315	1452.973	78.144	85.123	86
35	1306	1479.873	77.520	86.704	87
36	1279	1507.788	78.023	87.386	88
37	1272	1541.036	78.132	87.671	89
38	1246	1565.005	77.316	87.439	90
39	1230	1621.406	76.779	88.632	91
40	1213	1640.427	76.569	88.685	92
41	1202	1689.272	77.635	88.454	93
42	1176	1738.981	77.952	88.129	94
43	1156	1763.434	77.682	87.439	95
44	1138	1809.635	77.582	86.681	96
45	1122	1828.713	77.919	86.776	97
46	1108	1871.681	78.313	87.360	98
47	1093	1924.366	78.159	88.995	99
48	1078	1929.019	78.882	87.835	100
49	1059	1949.624	77.763	88.286	101
50	1051	1979.358	78.815	89.351	102
51	1042	1984.313	79.367	88.846	103
52	1033	1998.555	79.663	88.942	104
53	1020	2007.702	79.250	89.149	105
54	1011	2008.069	79.238	88.978	106
55	995	2012.056	79.285	89.593	107
56	987	2022.877	78.650	89.343	108
57	979	2028.702	79.039	90.196	109
58	966	2028.069	79.169	90.245	110
59	957	2043.799	78.539	89.481	111
60	943	2037.357	78.118	89.502	112
61	929	2035.327	77.992	90.945	113
62	911	2039.672	77.970	91.106	114
63	901	2077.101	78.288	91.661	115
64	889	2072.624	78.413	91.468	116
65	869	2098.063	77.488	92.566	117
66	859	2145.040	78.216	92.914	118
67	843	2193.554	78.204	92.538	119
68	823	2240.624	78.521	92.903	120
69	816	2307.005	78.053	91.315	121
70	803	2399.774	77.029	89.941	122
71	784	2481.328	78.207	90.001	123
72	785	2570.267	77.299	90.612	124
73	779	2683.646	76.759	90.643	125
74	769	2729.644	75.966	90.186	126
75	765	2835.099	76.185	90.664	127
76	759	2937.103	75.709	91.681	128
77	759	3042.182	76.374	90.525	129
78	757	3142.784	76.500	90.715	130
79	753	3244.407	76.454	90.457	131
80	743	3329.556	75.228	90.431	132
81	744	3430.247	74.427	90.011	133
82	738	3518.730	75.272	90.507	134
83	734	3590.103	75.505	89.927	135
84	730	3702.703	74.796	89.668	136
