 	Area	StdDev	XM	YM	Slice
1	1972	1019.880	91.515	94.423	72
2	1948	1023.915	91.542	92.944	73
3	1942	1027.398	91.140	93.357	74
4	1904	1039.076	91.679	93.963	75
5	1887	1053.978	91.788	94.260	76
6	1856	1051.945	92.185	93.046	77
7	1842	1064.533	91.301	95.039	78
8	1830	1064.753	92.022	94.612	79
9	1795	1072.129	91.616	93.152	80
10	1784	1082.544	92.695	93.231	81
11	1757	1086.567	93.307	93.404	82
12	1743	1106.454	91.993	93.638	83
13	1728	1114.688	91.249	94.099	84
14	1704	1132.387	90.830	93.310	85
15	1686	1147.847	92.149	93.149	86
16	1666	1159.913	91.217	92.794	87
17	1643	1184.414	93.114	94.116	88
18	1633	1202.391	93.086	93.866	89
19	1617	1206.181	91.310	92.343	90
20	1576	1236.261	90.951	92.477	91
21	1561	1258.059	92.781	93.786	92
22	1540	1273.647	93.379	93.477	93
23	1520	1297.533	91.850	92.740	94
24	1503	1307.788	92.025	93.473	95
25	1468	1325.486	93.085	93.913	96
26	1459	1344.078	92.197	94.249	97
27	1440	1363.106	91.776	93.803	98
28	1426	1362.565	92.036	94.162	99
29	1415	1381.847	91.858	94.327	100
30	1394	1398.302	91.635	94.808	101
31	1383	1412.906	91.912	94.560	102
32	1359	1430.915	91.828	94.090	103
33	1346	1450.781	90.842	93.422	104
34	1327	1475.007	91.625	93.997	105
35	1311	1494.638	91.199	94.055	106
36	1298	1531.375	91.476	94.050	107
37	1275	1557.551	90.223	93.966	108
38	1253	1589.927	90.947	94.356	109
39	1238	1626.332	90.783	92.876	110
40	1212	1653.014	90.872	93.780	111
41	1194	1691.046	91.629	94.643	112
42	1176	1724.566	92.373	94.170	113
43	1155	1762.469	92.449	94.299	114
44	1143	1796.226	91.518	94.495	115
45	1134	1830.488	91.786	94.022	116
46	1113	1838.611	91.615	93.663	117
47	1103	1857.803	91.568	93.877	118
48	1089	1890.253	91.031	94.319	119
49	1082	1893.036	90.549	93.929	120
50	1070	1904.698	91.178	94.320	121
51	1048	1916.629	90.597	93.065	122
52	1040	1935.561	90.413	92.987	123
53	1028	1946.607	90.531	92.088	124
54	1014	1955.133	90.506	92.364	125
55	1005	1959.592	90.593	92.562	126
56	994	1956.459	90.256	92.441	127
57	983	1953.445	90.721	92.770	128
58	983	1986.801	90.963	92.928	129
59	962	1978.289	90.503	93.090	130
60	949	1990.147	89.702	92.833	131
61	933	2001.572	89.671	92.229	132
62	922	2004.231	90.067	92.560	133
63	909	2013.378	88.835	92.999	134
64	899	2044.085	90.261	94.244	135
65	880	2088.759	88.755	92.478	136
66	872	2103.365	89.254	93.295	137
67	857	2156.851	89.584	92.688	138
68	851	2182.566	89.682	92.352	139
69	833	2208.817	90.176	93.450	140
70	826	2299.734	89.862	92.991	141
71	811	2365.696	91.059	93.693	142
72	802	2449.565	91.183	93.443	143
73	784	2542.247	90.948	92.868	144
74	781	2655.998	91.564	92.642	145
75	781	2754.985	90.769	92.157	146
76	773	2804.671	90.827	92.943	147
77	768	2909.454	89.586	93.067	148
78	762	3016.831	90.667	93.936	149
79	762	3109.277	91.585	93.968	150
80	754	3242.447	90.536	93.178	151
81	754	3337.089	89.531	93.201	152
82	743	3465.610	90.956	93.314	153
83	741	3572.273	91.814	94.095	154
84	734	3652.569	90.636	93.313	155
85	732	3791.942	90.835	93.889	156
86	727	3917.655	91.139	93.217	157
87	728	3991.152	90.037	93.175	158
88	726	4074.105	89.808	93.750	159
89	720	4215.749	90.612	94.405	160
90	718	4273.897	90.179	94.811	161
91	706	4432.299	90.179	92.986	162
92	702	4529.300	89.384	93.067	163
93	694	4648.354	91.062	93.078	164
94	687	4782.088	90.544	92.722	165
95	679	4858.851	90.868	92.926	166
96	668	4989.748	91.930	93.635	167
97	661	5084.219	90.826	93.273	168
98	645	5191.976	90.978	93.553	169
99	637	5361.736	92.106	94.182	170
100	619	5515.546	91.726	94.010	171
101	612	5592.639	92.225	93.789	172
102	587	5747.370	91.047	93.588	173
103	577	5852.948	90.962	93.551	174
104	573	6013.137	91.046	93.723	175
105	559	6159.525	89.245	94.079	176
106	545	6373.841	90.213	94.414	177
107	544	6546.330	88.947	93.883	178
108	533	6673.174	90.660	94.224	179
109	535	6862.391	89.898	93.812	180
110	525	7062.725	90.361	94.801	181
111	523	7180.925	89.265	94.909	182
112	518	7339.556	90.220	94.212	183
113	516	7467.972	89.385	94.435	184
114	521	7613.534	89.948	94.629	185
115	522	7821.156	90.079	94.652	186
116	518	7973.288	90.147	94.733	187
117	519	8127.643	89.313	93.469	188
118	516	8330.256	88.229	94.839	189
119	516	8445.399	89.366	94.524	190
120	518	8561.775	89.721	94.076	191
121	520	8681.914	89.130	95.340	192
122	517	8852.082	89.933	94.634	193
123	522	8958.748	90.142	94.729	194
124	527	9079.899	89.161	94.510	195
125	521	9285.067	88.983	94.821	196
126	518	9433.482	89.735	94.552	197
127	526	9468.220	88.951	94.110	198
128	529	9568.903	87.969	93.956	199
129	524	9686.944	88.578	94.443	200
130	528	9787.224	89.742	94.911	201
131	529	9887.265	89.628	94.992	202
132	528	9966.628	89.794	94.720	203
133	534	9988.712	90.037	95.156	204
134	530	10100.989	89.428	94.104	205
135	533	10198.810	90.070	94.362	206
136	535	10255.922	90.280	95.074	207
137	537	10286.725	89.101	94.111	208
138	533	10402.544	90.593	94.987	209
139	534	10452.850	90.429	94.073	210
140	540	10497.054	89.059	94.558	211
141	541	10557.321	89.824	94.622	212
142	539	10606.373	90.053	95.667	213
143	534	10659.961	90.039	94.557	214
144	538	10706.515	89.963	94.246	215
145	532	10759.919	90.791	94.279	216
146	538	10810.731	89.992	94.785	217
