 	Area	StdDev	XM	YM	Major	Minor	Angle	Slice
1	499	12081.516	39.659	122.429	25.787	24.639	25.646	1
2	323	13295.520	111.104	122.592	21.559	19.076	118.910	1
3	552	9413.900	184.855	128.560	27.031	26.001	161.703	1
4	530	10869.927	39.467	122.262	26.231	25.726	60.710	2
5	516	11396.828	110.865	122.297	25.967	25.301	62.106	2
6	549	7692.110	184.398	128.433	26.615	26.264	144.626	2
7	521	7411.169	39.402	122.019	26.108	25.408	88.082	3
8	498	8479.941	110.779	122.234	25.435	24.929	70.770	3
9	593	4798.695	184.104	128.577	29.194	25.863	107.334	3
10	500	12056.800	39.714	122.317	25.672	24.798	19.807	4
11	324	13275.525	111.116	122.701	21.607	19.092	124.410	4
12	555	9390.323	184.891	128.711	27.192	25.987	154.387	4
13	533	10882.531	39.587	122.222	26.497	25.612	72.553	5
14	514	11393.828	110.993	122.432	26.003	25.168	66.038	5
15	551	7708.691	184.546	128.480	26.667	26.308	144.294	5
16	523	7460.692	39.513	121.609	26.258	25.360	85.552	6
17	502	8477.165	110.900	122.030	25.706	24.864	89.466	6
18	597	4799.353	184.210	128.303	29.273	25.966	100.412	6
19	483	12206.945	39.853	122.024	25.554	24.066	16.747	7
20	311	13393.298	111.233	122.354	21.143	18.728	118.869	7
21	554	9449.115	184.999	128.601	27.189	25.944	147.022	7
22	531	10825.905	39.634	121.687	26.282	25.725	69.744	8
23	511	11409.421	111.040	121.830	25.960	25.063	58.319	8
24	549	7770.259	184.548	128.230	26.546	26.332	142.171	8
25	521	7541.265	39.519	121.899	26.136	25.381	84.384	9
26	501	8590.841	110.908	122.034	25.709	24.812	89.201	9
27	593	4855.991	184.208	128.559	29.044	25.996	105.476	9
28	491	12159.538	39.812	122.381	25.418	24.595	14.759	10
29	305	13394.937	111.222	122.504	20.748	18.717	120.812	10
30	548	9513.529	184.957	128.907	27.267	25.589	150.007	10
31	531	11020.681	39.661	122.227	26.368	25.641	71.704	11
32	519	11519.345	111.077	122.345	25.937	25.478	57.330	11
33	554	7836.996	184.570	128.787	26.936	26.187	123.564	11
34	519	7733.338	39.569	121.709	26.126	25.294	83.653	12
35	501	8725.707	110.937	122.000	25.627	24.891	83.680	12
36	595	4836.981	184.238	128.791	29.105	26.029	103.845	12
37	485	12160.521	39.847	122.146	25.413	24.299	11.251	13
38	313	13273.719	111.259	122.615	21.123	18.867	123.036	13
39	555	9451.349	184.973	128.979	27.336	25.851	151.434	13
40	533	11016.824	39.653	122.112	26.459	25.649	71.406	14
41	513	11476.728	111.070	122.511	25.891	25.228	67.687	14
42	549	7836.134	184.559	128.735	26.751	26.130	143.016	14
43	518	7728.575	39.546	121.829	26.138	25.233	90.738	15
44	496	8721.856	110.940	122.188	25.265	24.996	83.800	15
45	586	4885.815	184.193	128.813	29.074	25.663	106.477	15
46	469	12306.695	39.892	122.387	24.950	23.933	20.611	16
