,intensity_raw,intensity_interp
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,3924.8,3920.8
53,3814.2,3869.2
54,3758.0,3798.0
55,3615.6,3596.0
56,3658.2,3729.0
57,3467.8,3430.2
58,3336.8,3276.2
59,3257.0,3214.0
60,3076.6,2993.2
61,2926.0,2840.6
62,2791.4,2746.0
63,2705.0,2620.6
64,2633.8,2561.8
65,2533.0,2444.8
66,2476.8,2398.8
67,2428.6,2335.4
68,2420.0,2332.8
69,2354.0,2241.6
70,2488.2,2393.4
71,2584.2,2468.6
72,2712.2,2640.2
73,2833.6,2795.4
74,2916.0,2875.0
75,3138.0,3109.6
76,3379.4,3369.2
77,3698.0,3764.4
78,3913.8,3999.4
79,4262.2,4414.0
80,4387.0,4545.8
81,4809.2,5083.8
82,5229.0,5546.0
83,5383.6,5756.2
84,5815.0,6247.8
85,6093.4,6603.2
86,6493.4,7121.6
87,6807.8,7534.6
88,7252.4,7980.4
89,7582.0,8470.4
90,7991.6,8922.4
91,8319.6,9357.2
92,8677.2,9797.6
93,8776.2,9864.2
94,9066.4,10253.6
95,9264.0,10526.2
96,9220.4,10474.2
97,9571.0,10915.6
98,9764.6,11089.8
99,9656.2,10966.6
100,9682.2,11029.0
101,9784.0,11154.2
102,9655.8,10955.6
103,9629.4,10862.4
104,9505.0,10744.6
105,9372.6,10551.2
106,9374.0,10578.0
107,9220.2,10274.4
108,9003.0,10023.8
109,8906.4,9890.6
110,8803.2,9775.8
111,8481.6,9367.4
112,8089.2,8738.2
113,7937.8,8537.6
114,7798.8,8422.2
115,7625.2,8157.2
116,7477.0,7927.2
117,7332.6,7691.4
118,7132.4,7506.0
119,7059.6,7350.2
120,6947.8,7201.8
121,6842.6,6962.6
122,6874.8,6991.6
123,6931.6,7018.4
124,7076.8,7205.2
125,7192.6,7209.2
126,7334.2,7328.8
127,7581.8,7656.6
128,7797.2,7882.6
129,8131.8,8182.0
130,8554.6,8656.2
131,8940.6,9032.8
132,9317.8,9391.0
133,9691.8,9847.2
134,10212.8,10343.6
135,10814.4,10985.6
136,11193.8,11424.8
137,11813.6,12057.0
138,12341.6,12680.8
139,13104.2,13668.6
140,13945.4,14516.6
141,14767.8,15394.4
142,15491.8,16271.2
143,16577.0,17522.4
144,17179.2,18212.8
145,17931.6,19092.8
146,18658.8,19740.8
147,19718.8,20978.4
148,20394.4,21699.0
149,20849.0,22124.8
150,22062.6,23549.4
151,22860.6,24296.4
152,24052.4,25750.4
153,24449.6,26157.6
154,24957.4,26641.6
155,26251.8,28139.2
156,26780.6,28579.4
157,27435.2,29392.6
158,28744.6,30782.4
159,29932.4,32390.0
160,30208.4,32540.4
161,30794.4,33143.8
162,31094.4,33585.8
163,32258.0,34907.0
164,32964.8,35589.8
165,33752.4,36509.6
166,34513.4,37258.2
167,34831.0,37590.0
168,35383.6,38245.2
169,36054.2,39142.4
170,36414.2,39476.2
171,36828.8,39780.6
172,37872.2,40942.2
173,38017.6,41176.6
174,38866.0,42147.0
175,38644.2,41826.6
176,39304.6,42618.2
177,39752.8,43249.4
178,39933.8,43319.8
179,40387.4,43859.8
180,40770.6,44118.6
181,41378.6,44611.6
182,41392.2,44775.2
183,41789.2,45306.0
184,42152.0,45713.8
185,42235.0,45616.2
186,42057.2,45387.0
187,42762.0,46095.0
188,42713.2,45909.2
189,43066.6,46443.4
190,42994.0,46186.0
191,42525.8,45645.0
192,42725.8,45877.2
193,43365.4,46772.2
194,43097.4,46385.8
195,42952.2,46146.6
196,43305.6,46507.4
197,43259.6,46358.6
198,42930.4,46071.6
199,43007.2,46054.6
200,42933.8,46034.4
201,43007.2,46070.4
202,42833.4,45730.0
203,42681.4,45573.0
204,42703.0,45615.2
205,42618.2,45255.2
206,42478.4,45152.0
207,42423.0,44964.4
208,42571.0,45119.6
209,42397.6,45012.4
210,42137.4,44472.6
211,41748.2,44377.0
212,41899.4,44450.4
213,41847.4,44338.6
214,41476.2,44006.0
215,41504.0,43864.0
216,40872.2,43073.8
217,41058.4,43432.2
218,40806.2,43237.6
219,40776.6,42964.0
220,40594.2,42808.2
221,40515.6,42706.6
222,40250.8,42596.4
223,39898.2,42275.4
224,39798.4,42006.0
225,39684.4,41903.6
226,39209.0,41360.0
227,38965.4,41272.0
228,38738.2,40838.2
229,38677.4,40867.2
230,38098.6,40351.6
231,38022.2,40229.0
232,37906.6,39989.4
233,37693.0,39818.0
234,37272.0,39180.0
235,37339.8,39275.4
236,36910.0,38752.8
237,36701.8,38670.0
238,36649.8,38461.0
239,36284.4,38291.8
240,35983.0,38038.0
241,35718.2,37607.0
242,35528.8,37412.6
243,34892.0,36775.6
244,34815.8,36737.6
245,34666.0,36462.8
246,34282.0,36006.0
247,34074.6,35619.8
248,33893.2,35700.8
249,33625.8,35304.2
250,33500.8,35344.0
251,33120.4,34829.2
252,32705.0,34282.8
253,32666.4,34208.2
254,32339.4,33945.2
255,31876.8,33410.8
256,31765.4,33243.8
257,31369.8,32813.2
258,31083.8,32522.6
259,30516.2,31902.4
260,30587.8,32005.4
261,30284.0,31657.6
262,29914.2,31321.4
263,29565.4,30922.6
264,29431.0,30718.0
265,29003.2,30276.8
266,28820.8,30114.2
267,28243.0,29424.6
268,28110.8,29252.2
269,27953.4,29095.0
270,27670.8,28778.2
271,27285.6,28427.8
272,27109.4,28179.6
273,26951.4,28112.0
274,26729.2,27865.6
275,26247.4,27309.4
276,26083.6,27234.6
277,25787.8,26841.2
278,25687.2,26734.2
279,25472.8,26535.4
280,24986.6,25879.0
281,24901.0,25820.0
282,24577.4,25500.6
283,24264.8,25187.0
284,24045.0,24963.4
285,23808.8,24688.6
286,23558.4,24380.2
287,23517.6,24518.4
288,23066.2,24037.0
289,22731.0,23621.0
290,22531.4,23509.6
291,22280.6,23095.6
292,22038.8,22824.0
293,21755.4,22591.6
294,21510.4,22329.6
295,21402.4,22169.6
296,21029.0,21750.6
297,20903.2,21658.4
298,20590.0,21252.0
299,20439.6,21124.4
300,20232.0,20900.0
301,19990.4,20802.0
302,19691.0,20263.4
303,19455.4,20154.8
304,19106.8,19730.0
305,18904.6,19512.0
306,18820.0,19492.0
307,18779.0,19451.8
308,18477.0,19100.6
309,18091.0,18680.6
310,17965.0,18445.8
311,17667.2,18220.6
312,17470.6,17948.2
313,17346.6,17923.2
314,17071.6,17582.0
315,16914.8,17499.6
316,16551.4,17055.2
317,16442.6,17023.6
318,16191.4,16674.2
319,16036.2,16552.4
320,15947.4,16469.0
321,15716.4,16203.8
322,15632.8,16072.6
323,15377.6,15846.8
324,15167.2,15562.4
325,14972.6,15428.4
326,14778.0,15262.2
327,14723.6,15178.8
328,14561.0,15011.4
329,14424.0,14899.4
330,14333.8,14735.0
331,13958.6,14355.8
332,13801.8,14214.2
333,13622.4,14054.4
334,13478.6,13917.2
335,13231.4,13499.2
336,13265.0,13658.4
337,13053.6,13373.2
338,12788.0,13067.2
339,12766.6,13097.2
340,12578.2,12944.0
341,12385.6,12694.6
342,12270.8,12574.0
343,12091.2,12407.4
344,12004.2,12336.4
345,11743.6,12071.4
346,11659.2,11952.8
347,11526.0,11818.4
348,11365.4,11600.0
349,11231.0,11500.4
350,11184.6,11384.0
351,11089.0,11394.4
352,10890.2,11132.8
353,10718.8,10964.4
354,10604.6,10860.2
355,10504.4,10694.0
356,10253.0,10484.2
357,10159.4,10406.6
358,10096.2,10320.0
359,9918.0,10167.4
360,9886.0,10119.8
361,9658.8,9894.0
362,9526.0,9724.2
363,9492.8,9752.2
