,intensity_raw,intensity_interp
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,3419.8,3296.0
49,3392.8,3279.6
50,3405.2,3268.4
51,3400.6,3290.8
52,3393.4,3256.2
53,3301.0,3157.8
54,3249.2,3118.4
55,3076.6,2918.0
56,3061.4,2926.6
57,2941.0,2768.0
58,2864.4,2734.6
59,2766.4,2663.2
60,2619.6,2497.0
61,2483.8,2371.4
62,2399.2,2303.6
63,2355.8,2261.8
64,2273.2,2209.2
65,2193.6,2101.2
66,2164.6,2049.2
67,2141.8,2049.4
68,2185.6,2146.6
69,2178.4,2121.8
70,2252.2,2175.2
71,2395.0,2364.2
72,2449.2,2404.4
73,2531.6,2488.8
74,2701.4,2687.8
75,2921.8,2949.4
76,3123.8,3133.4
77,3416.0,3486.2
78,3707.4,3851.0
79,3865.4,3974.8
80,4089.8,4284.6
81,4380.4,4617.8
82,4653.8,4948.0
83,4994.0,5374.2
84,5340.8,5784.8
85,5712.8,6218.4
86,5941.8,6450.2
87,6185.6,6771.0
88,6608.4,7320.4
89,6795.2,7478.8
90,7181.0,7959.8
91,7306.6,8078.8
92,7563.2,8487.0
93,7764.6,8592.8
94,7901.2,8725.2
95,8174.0,9089.4
96,8386.2,9383.6
97,8418.6,9375.4
98,8521.8,9495.8
99,8641.6,9618.6
100,8461.2,9400.2
101,8490.8,9459.4
102,8407.4,9268.4
103,8347.4,9177.2
104,8214.4,9044.4
105,8311.8,9057.4
106,8057.2,8745.2
107,8029.8,8759.8
108,7732.2,8325.2
109,7597.0,8182.4
110,7507.6,8058.8
111,7283.6,7688.6
112,7174.4,7568.2
113,7152.6,7551.2
114,6990.2,7342.2
115,6943.4,7249.0
116,6757.4,6996.4
117,6782.4,7009.4
118,6677.6,6865.4
119,6708.2,6841.4
120,6716.6,6834.8
121,6757.6,6824.0
122,6856.8,6953.2
123,7013.2,7135.8
124,7207.2,7259.0
125,7334.6,7414.6
126,7661.0,7704.8
127,7921.4,7997.4
128,8251.6,8392.6
129,8597.8,8741.4
130,9022.0,9210.8
131,9412.8,9619.8
132,9869.8,10103.0
133,10400.0,10662.4
134,11049.6,11364.6
135,11605.2,11989.6
136,12033.4,12494.0
137,12615.4,13156.4
138,13189.6,13812.2
139,13996.8,14681.6
140,14787.8,15526.4
141,15510.2,16394.2
142,16513.6,17440.8
143,17096.2,18065.6
144,17929.2,19039.8
145,18820.0,20007.0
146,19506.2,20849.0
147,20341.6,21772.4
148,21251.8,22704.8
149,21731.4,23237.0
150,22777.8,24476.0
151,23577.0,25390.8
152,24443.6,26271.4
153,25424.8,27483.4
154,26074.6,28287.6
155,26730.6,28976.6
156,27590.4,29750.4
157,28686.2,31088.0
158,29091.0,31572.8
159,30216.6,32902.6
160,30601.8,33367.4
161,31244.0,33926.8
162,32018.0,34746.8
163,32511.6,35548.2
164,33605.0,36493.4
165,33915.0,36850.0
166,34599.0,37645.0
167,35072.6,38044.8
168,35701.4,38756.6
169,36961.4,40322.8
170,37081.0,40324.0
171,37308.6,40642.0
172,38052.4,41324.6
173,38208.8,41537.4
174,39040.2,42496.6
175,39174.6,42694.6
176,40079.8,43694.2
177,40034.4,43583.0
178,40279.8,43842.8
179,40848.8,44305.2
180,41031.2,44760.2
181,41638.4,45222.8
182,41576.6,45112.6
183,42139.6,45828.4
184,42080.6,45840.6
185,42581.2,46291.2
186,42385.0,45959.2
187,42901.4,46457.6
188,43147.0,46832.4
189,42946.2,46409.2
190,42822.2,46175.0
191,43316.2,46990.2
192,43493.6,47003.6
193,43447.8,46949.0
194,44038.0,47476.6
195,43415.4,46859.6
196,43528.4,46740.2
197,43363.2,46279.2
198,43411.6,46551.4
199,43350.2,46378.6
200,43174.2,46167.8
201,43244.4,46244.4
202,43193.0,45987.6
203,43107.0,46104.6
204,43415.2,46366.4
205,43019.8,45824.6
206,43022.4,45874.4
207,42668.8,45492.2
208,42676.2,45475.6
209,42442.2,45284.2
210,42746.8,45432.2
211,41956.2,44360.0
212,42160.8,44526.6
213,41910.4,44357.2
214,41853.8,44116.0
215,41864.8,44318.2
216,41302.0,43846.4
217,41351.4,43932.6
218,41513.0,44245.8
219,40844.8,43364.0
220,40553.6,43029.2
221,40551.2,42988.4
222,40623.8,43222.4
223,40364.0,42759.0
224,39761.0,41978.6
225,39548.2,41920.8
226,39458.6,41843.4
227,39164.6,41509.6
228,38697.8,40909.2
229,38474.2,40694.8
230,38193.2,40392.0
231,38003.4,40210.6
232,38017.6,40181.0
233,37759.2,39784.2
234,37449.8,39657.4
235,37032.2,39054.8
236,37007.2,38963.0
237,36602.6,38566.2
238,36423.0,38447.4
239,36207.4,38096.2
240,35965.2,37849.8
241,35774.0,37607.0
242,35682.2,37740.2
243,34908.8,36693.4
244,34794.8,36522.2
245,34557.4,36428.6
246,34034.0,35759.2
247,34092.6,35825.4
248,33753.8,35508.0
249,33556.2,35437.6
250,32966.8,34501.6
251,32808.6,34517.0
252,32516.2,34082.0
253,32555.2,34024.8
254,32329.6,34021.4
255,31792.4,33274.6
256,31521.2,33066.0
257,31440.6,32918.2
258,30839.8,32246.2
259,30654.2,32304.2
260,30422.0,31868.4
261,30103.2,31494.2
262,29697.6,31036.6
263,29455.2,30751.2
264,29273.4,30642.6
265,28903.2,30103.0
266,28644.0,29854.4
267,28295.0,29449.4
268,28097.4,29387.0
269,27771.0,28913.8
270,27396.6,28542.2
271,27235.6,28431.0
272,26921.6,27936.0
273,26687.6,27691.2
274,26514.0,27565.0
275,26246.0,27424.2
276,25897.8,27080.4
277,25759.0,26805.0
278,25382.6,26467.6
279,25121.0,26141.8
280,25040.0,26001.6
281,24698.6,25682.8
282,24414.8,25455.0
283,24022.8,24885.2
284,23831.6,24755.2
285,23618.6,24473.0
286,23534.8,24382.4
287,23112.6,23898.4
288,22966.4,23755.0
289,22656.4,23461.0
290,22323.8,23114.8
291,22078.2,22804.0
292,21833.4,22506.8
293,21551.6,22282.0
294,21320.0,22107.6
295,21086.0,21810.4
296,20922.2,21671.0
297,20698.2,21358.6
298,20406.6,21088.4
299,20081.4,20757.4
300,19794.8,20470.4
301,19556.4,20108.8
302,19533.0,20143.2
303,19216.2,19802.4
304,18946.8,19528.6
305,18679.8,19289.8
306,18596.8,19217.0
307,18384.8,18926.6
308,18157.0,18762.0
309,17928.2,18424.2
310,17658.4,18196.0
311,17523.0,18047.0
312,17274.2,17849.8
313,17071.6,17596.4
314,16812.2,17403.2
315,16663.6,17213.6
316,16290.0,16705.4
317,16155.2,16660.6
318,16079.0,16595.2
319,15816.8,16289.8
320,15645.0,16064.6
321,15481.4,15902.8
322,15211.2,15762.4
323,15061.4,15559.4
324,14919.8,15392.8
325,14686.6,15223.0
326,14567.0,14953.6
327,14328.8,14711.6
328,14263.2,14644.8
329,14011.0,14394.6
330,13922.6,14267.4
331,13681.2,13988.6
332,13506.0,13894.6
333,13235.4,13617.2
334,13146.0,13577.2
335,13029.6,13399.6
336,12867.8,13182.8
337,12680.8,13011.8
338,12503.6,12877.2
339,12357.8,12660.0
340,12191.6,12448.4
341,11964.6,12322.6
342,11967.4,12301.0
343,11739.6,12021.8
344,11742.2,12032.8
345,11527.8,11910.6
346,11427.0,11680.8
347,11339.2,11571.8
348,11140.8,11408.6
349,10994.2,11343.6
350,10815.8,11030.4
351,10782.8,11025.8
352,10644.4,10832.0
353,10419.6,10662.8
354,10373.4,10551.6
355,10108.8,10333.8
356,9935.8,10167.2
357,9821.0,10101.0
358,9778.2,9955.0
359,9693.0,9921.8
360,9575.2,9804.6
361,9486.2,9639.2
362,9325.0,9496.6
