,intensity_raw,intensity_interp
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,0.0,0.0
70,0.0,0.0
71,3450.2,3305.2
72,3371.0,3239.4
73,3297.4,3092.2
74,3265.2,3136.0
75,3130.4,2982.0
76,3025.0,2846.8
77,2927.6,2783.0
78,2867.8,2719.0
79,2732.8,2581.0
80,2698.4,2539.4
81,2591.4,2452.0
82,2488.0,2394.6
83,2442.2,2333.6
84,2354.0,2225.0
85,2339.6,2248.4
86,2272.6,2163.2
87,2265.2,2169.0
88,2268.0,2164.8
89,2285.2,2196.8
90,2326.6,2220.8
91,2428.8,2349.4
92,2572.0,2516.6
93,2717.0,2709.0
94,2891.6,2863.6
95,3190.6,3199.2
96,3383.0,3427.0
97,3692.4,3739.2
98,3947.8,4077.0
99,4162.6,4296.4
100,4495.4,4724.2
101,4761.8,5021.4
102,5036.4,5367.0
103,5327.0,5729.0
104,5738.6,6225.8
105,5934.0,6441.6
106,6471.4,7032.6
107,6580.2,7220.2
108,7061.4,7737.8
109,7208.6,7996.0
110,7547.0,8455.8
111,8039.0,8960.6
112,8301.6,9254.2
113,8672.2,9727.4
114,8853.8,9938.0
115,8776.6,9856.0
116,8965.2,10089.6
117,9001.4,10095.4
118,9037.4,10181.0
119,8988.4,10078.4
120,8991.2,10156.0
121,8884.8,9965.0
122,8868.0,9872.2
123,8795.8,9748.8
124,8716.6,9619.4
125,8578.8,9496.4
126,8269.2,9046.6
127,8190.0,8917.4
128,8143.4,8853.2
129,7962.2,8595.0
130,7648.8,8266.6
131,7426.4,7871.6
132,7370.6,7904.0
133,7186.8,7563.6
134,7127.4,7431.0
135,6874.0,7122.4
136,6868.2,7117.2
137,6811.4,7056.0
138,6771.8,6934.0
139,6733.0,6908.2
140,6824.2,6896.6
141,6881.2,6962.6
142,6968.0,7076.4
143,7110.0,7073.4
144,7296.6,7275.6
145,7527.8,7480.0
146,7674.0,7628.6
147,7992.6,7918.6
148,8270.0,8230.6
149,8573.2,8537.0
150,9150.8,9197.8
151,9636.2,9700.6
152,10183.0,10382.8
153,10733.6,10914.4
154,11248.0,11473.8
155,12064.6,12417.6
156,12686.0,13087.2
157,13319.0,13685.0
158,13868.8,14398.2
159,14811.6,15307.8
160,15151.0,15678.4
161,16286.0,17030.8
162,17135.6,18021.4
163,17647.0,18582.0
164,18673.6,19777.8
165,19131.6,20223.2
166,20050.4,21274.6
167,20766.6,22064.8
168,21587.2,23074.6
169,22511.6,23990.6
170,23610.2,25082.4
171,24102.4,25759.0
172,25166.4,26846.8
173,25912.4,27766.4
174,26727.4,28588.8
175,27599.4,29680.4
176,28877.8,30972.2
177,29567.0,31847.0
178,30328.6,32729.2
179,31115.2,33643.6
180,32232.2,34826.0
181,32602.2,35278.4
182,33325.8,35993.6
183,34247.4,37154.4
184,34566.6,37485.8
185,35449.6,38531.2
186,35990.4,38963.4
187,36923.8,40022.0
188,37354.2,40440.0
189,38226.8,41520.0
190,38219.2,41420.4
191,38715.8,42040.0
192,39347.0,42674.4
193,39659.2,42979.4
194,40423.6,43942.2
195,40733.6,44214.6
196,41549.4,45026.0
197,41252.6,44620.2
198,41546.8,44916.0
199,42558.2,46074.6
200,42428.8,45995.4
201,42787.8,46358.2
202,42921.8,46509.2
203,42813.8,46313.6
204,43499.4,47025.2
205,43664.8,47225.8
206,43636.6,47227.0
207,43569.6,47070.6
208,43985.0,47320.0
209,44103.4,47546.6
210,44317.4,47964.8
211,44428.8,47939.0
212,44270.6,47871.6
213,44464.8,47841.8
214,44326.2,47764.8
215,44310.4,47677.4
216,44392.6,47630.0
217,44412.6,47665.2
218,44609.8,47784.0
219,44284.4,47565.4
220,44598.8,47748.4
221,44028.4,47060.8
222,44358.8,47572.2
223,44284.0,47420.4
224,43744.4,46780.4
225,43830.6,46759.8
226,43773.8,46974.2
227,43615.6,46480.4
228,43275.0,46102.0
229,43118.0,45970.6
230,43251.4,46129.6
231,42864.4,45590.6
232,42919.6,45571.0
233,42473.0,45219.6
234,42120.0,44651.2
235,42175.2,44681.2
236,41650.4,44083.4
237,41545.2,44164.0
238,41653.0,44120.0
239,41441.6,43929.6
240,41190.0,43649.4
241,40939.6,43280.4
242,40541.0,42813.2
243,40422.0,42647.4
244,40133.8,42500.8
245,39807.4,42184.4
246,39880.2,42147.2
247,39563.4,41857.4
248,39064.0,41195.6
249,39362.0,41681.6
250,38673.2,40780.0
251,38412.2,40517.6
252,38144.0,40349.8
253,37820.0,39982.2
254,37753.4,39676.4
255,37582.6,39490.2
256,36960.2,38968.2
257,36790.4,38651.8
258,36554.4,38263.6
259,36448.0,38364.0
260,36178.4,38004.4
261,35905.0,37680.6
262,35604.8,37466.4
263,35127.0,36965.4
264,34542.2,36170.0
265,34579.4,36301.0
266,34518.2,36309.0
267,34181.4,35813.8
268,33493.4,35151.2
269,33494.0,35080.0
270,33307.6,34816.2
271,32941.8,34542.0
272,32477.6,34043.4
273,32493.0,34164.4
274,32073.0,33581.4
275,31710.6,33255.0
276,31552.2,33046.8
277,31062.6,32545.2
278,30850.2,32334.0
279,30404.4,31800.4
280,30362.2,31767.0
281,30230.2,31676.4
282,29690.4,31025.0
283,29571.2,30888.8
284,29268.4,30668.6
285,29094.0,30440.2
286,28672.6,29930.2
287,28382.6,29774.8
288,27937.4,29208.6
289,27548.8,28739.0
290,27392.8,28475.6
291,27039.2,28150.8
292,26844.0,28003.0
293,26565.6,27710.8
294,26237.6,27229.0
295,26151.0,27258.4
296,25851.6,26895.6
297,25572.6,26717.0
298,25315.2,26327.0
299,25116.4,26195.2
300,24775.0,25841.4
301,24572.8,25503.4
302,24073.0,25025.6
303,23803.4,24765.6
304,23697.8,24647.8
305,23209.2,24116.6
306,23035.2,23808.4
307,22829.2,23672.4
308,22364.6,23250.8
309,22028.0,22900.2
310,21836.2,22649.0
311,21607.6,22399.2
312,21262.6,22074.8
313,21084.2,21908.4
314,20741.2,21495.0
315,20610.6,21375.6
316,20392.6,21112.2
317,20135.8,20770.4
318,19869.8,20542.4
319,19608.6,20243.6
320,19418.6,19982.4
321,19200.0,19792.2
322,18832.4,19385.4
323,18758.8,19522.2
324,18461.0,19036.2
325,18494.4,19080.6
326,18130.8,18752.8
327,18008.2,18669.6
328,17723.0,18324.4
329,17555.0,18144.6
330,17332.2,17936.2
331,17088.8,17624.0
332,16984.4,17595.8
333,16593.2,17137.6
334,16595.8,17152.6
335,16363.0,16841.2
336,16301.0,16884.2
337,16068.0,16638.6
338,15795.8,16268.8
339,15791.6,16269.0
340,15658.4,16166.6
341,15353.8,15929.4
342,15243.0,15687.0
343,15019.4,15478.2
344,14849.4,15297.4
345,14615.4,15043.6
346,14351.2,14812.0
347,14234.0,14693.8
348,14047.4,14485.8
349,13853.6,14276.8
350,13785.2,14188.6
351,13556.8,13959.8
352,13322.2,13673.8
353,13108.0,13481.0
354,12964.2,13393.8
355,12850.8,13307.2
356,12581.2,12961.8
357,12518.0,12909.4
358,12367.0,12713.2
359,12086.8,12440.4
360,11985.8,12303.8
361,11803.6,12167.4
362,11630.4,11937.8
363,11593.0,11928.6
364,11346.6,11650.4
365,11252.4,11532.0
366,11082.0,11388.6
