idxLoop;idxAnalysis;T;Tabs;B;F;dx;dy;dz;D2;D3
1;0;0.0;37790.802;5.008;99.94385941849933;4.536518987341772;0.044367088607594515;-1.1118000000000001;4.5367359368894205;4.670981931142951
1;0;0.3179999999993015;37791.12;5.008;98.63937157669476;4.53645569620253;0.03797468354430433;-1.1492;4.536614636510211;4.679907370899414
1;0;0.9189999999944121;37791.721;5.007;98.28274630198882;4.537721518987341;0.03177215189873388;-1.1560000000000001;4.537832748517409;4.682762224746956
1;0;1.5179999999963911;37792.32;5.007;97.3291137541811;4.537151898734177;0.05031645569620264;-1.1831999999999998;4.537430891804411;4.689162114696076
1;0;2.117999999994936;37792.92;5.007;97.28227935356773;4.532784810126583;0.04974683544303806;-1.1933999999999998;4.533057785044316;4.6875170871742835
1;0;2.7179999999934807;37793.52;5.007;97.96192278356763;4.5336708860759485;0.04411392405063308;-1.1729999999999998;4.533885501592185;4.683166315811111
1;0;3.3189999999958673;37794.121;5.005;96.95984642207648;4.535189873417722;0.022341772151898382;-1.1967999999999999;4.535244904383173;4.69049854309044
1;0;3.918999999994412;37794.721;5.007;96.63749446077846;4.531835443037975;0.023101265822785384;-1.2138;4.531894322604821;4.6916283517833985
1;0;4.519000000000233;37795.321;5.008;95.96212834545811;4.529430379746836;0.0217721518987347;-1.2376;4.529482706841022;4.695515664074807
1;0;5.118999999998778;37795.921;5.007;95.48016824829278;4.52506329113924;0.032025316455696215;-1.258;4.525176616410676;4.6967847949112995
1;-1;5.717999999993481;37796.52;4.994;97.01616176661543;4.507974683544305;0.019683544303797915;-1.2409999999999999;4.508017656286711;4.675714297237667
1;-1;6.2739999999976135;37797.076;4.98;96.28053197948195;4.50759493670886;0.027278481012658062;-1.2511999999999999;4.507677476147745;4.678104067778923
1;-1;6.373999999996158;37797.176;4.963;96.73171544423471;4.507405063291139;0.03392405063291148;-1.2273999999999998;4.507532722653707;4.671655167688851
1;-1;6.472999999998137;37797.275;4.929;95.07852740375262;4.507151898734176;0.03867088607594963;-1.2478;4.507317791735234;4.676849208141416
1;-1;6.572999999996682;37797.375;4.861;94.30309744079838;4.508417721518987;0.04031645569620256;-1.2171999999999998;4.5085979825558145;4.670014090803834
1;-1;6.673999999999069;37797.476;4.756;90.9251499697138;4.50993670886076;0.03797468354430344;-1.2308;4.510096583724136;4.6750229768975595
1;-1;6.7739999999976135;37797.576;4.583;86.33974201281703;4.506962025316455;0.030949367088607866;-1.2376;4.507068288917729;4.673897551398381
1;-1;6.8729999999995925;37797.675;4.311;78.73676983955424;4.508481012658228;0.028734177215189463;-1.2511999999999999;4.508572578371118;4.678966566929068
1;-1;6.972999999998137;37797.775;3.942;69.60788321507498;4.506645569620252;0.030126582278480953;-1.2444;4.5067462654489026;4.675392310933664
1;-1;7.072999999996682;37797.875;3.505;57.332251787844115;4.5015822784810124;0.03322784810126618;-1.3124;4.50170491034494;4.689108748986714
1;-1;7.173999999999069;37797.976;3.069;46.3476458874946;4.495443037974683;0.04075949367088552;-1.36;4.495627814221208;4.696836109978648
1;-1;7.2739999999976135;37798.076;2.698;38.580909000990644;4.494303797468354;0.03930379746835412;-1.3328;4.494475654893894;4.687927820736354
1;-1;7.373999999996158;37798.176;2.432;32.77512559723453;4.489620253164556;0.037721518987342;-1.3464;4.489778717333415;4.68731329128106
1;-1;7.472999999998137;37798.275;2.26;28.852546557216453;4.49246835443038;0.0326582278481016;-1.3702;4.492587058188699;4.696891154306707
1;-1;7.573999999993248;37798.376;2.15;26.92287705714654;4.488797468354431;0.028227848101265694;-1.3532;4.488886223030561;4.688416551812944
1;-1;7.673999999999069;37798.476;2.085;25.364178049611954;4.489367088607594;0.02734177215189887;-1.377;4.489450348180435;4.695880474285672
1;-1;7.7739999999976135;37798.576;2.053;24.99598689335248;4.487341772151898;0.0333544303797469;-1.3566;4.48746573225081;4.688039276512654
1;-1;7.8729999999995925;37798.675;2.034;24.40870415500216;4.489493670886076;0.03208860759493702;-1.3736000000000002;4.489608345909865;4.695035682469677
1;-1;7.972999999998137;37798.775;2.023;24.064525019108224;4.486835443037975;0.03727848101265814;-1.3905999999999998;4.486990302869887;4.697536624449925
1;-1;8.072999999996682;37798.875;2.007;23.956745952516634;4.4876582278481;0.03139240506329083;-1.3702;4.487768025763855;4.69228194944298
1;-1;8.173999999999069;37798.976;2.006;23.859112954311513;4.488164556962026;0.029556962025316377;-1.377;4.488261880101729;4.694744264001428
1;-1;8.273999999997613;37799.076;2.006;24.035780693763382;4.488164556962026;0.01936708860759477;-1.36;4.488206342682038;4.689733060046304
1;-1;8.372999999999593;37799.175;2.007;23.79931598580168;4.486772151898735;0.01689873417721493;-1.3871999999999998;4.486803975021729;4.696353239511567
1;-1;8.473999999994703;37799.276;2.009;23.881399868144946;4.48626582278481;0.01791139240506247;-1.3838;4.486301578211718;4.694869997205988
1;-1;8.572999999996682;37799.375;2.004;23.699512534737405;4.487151898734177;0.022974683544303768;-1.3905999999999998;4.487210714731111;4.697747157776553
1;-1;8.672999999995227;37799.475;2.006;23.783999517720563;4.484556962025317;0.010189873417721604;-1.3905999999999998;4.48456853879724;4.695223459982497
1;-1;8.773999999997613;37799.576;2.006;23.68782058806491;4.486012658227849;0.01632911392405125;-1.3974;4.486042377167434;4.698649057946554
1;-1;8.872999999999593;37799.675;2.007;23.78264625503925;4.479556962025317;0.016139240506328825;-1.4007999999999998;4.479586035686066;4.693498875158447
