X	Y	idxAnalysis	StdDev	iL	Bead	idx_inNUp	idx_NUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
122.57	109.978	0	5487.187	1	<BeadTracker_V4.Bead object at 0x000002F291AE5B70>	1	1	0	1	3	True	307.0	M450-2025	M450-Strept	0
122.542	109.927	0	3125.467	1	<BeadTracker_V4.Bead object at 0x000002F291AE4A00>	2	1	1	2	3	False	307.0	M450-2025	M450-Strept	1
122.382	109.274	0	1579.741	1	<BeadTracker_V4.Bead object at 0x000002F291AE7C40>	3	1	2	3	3	False	307.0	M450-2025	M450-Strept	2
122.528	109.822	0	5644.961	1	<BeadTracker_V4.Bead object at 0x000002F291AE6FE0>	1	2	3	4	3	True	301.0	M450-2025	M450-Strept	3
122.428	109.758	0	3176.84	1	<BeadTracker_V4.Bead object at 0x000002F291AE57B0>	2	2	4	5	3	False	301.0	M450-2025	M450-Strept	4
122.361	109.295	0	1594.083	1	<BeadTracker_V4.Bead object at 0x000002F291AE5F60>	3	2	5	6	3	False	301.0	M450-2025	M450-Strept	5
122.407	110.016	0	5688.963	1	<BeadTracker_V4.Bead object at 0x000002F291AE42E0>	1	3	6	7	3	True	299.0	M450-2025	M450-Strept	6
122.396	110.082	0	3174.525	1	<BeadTracker_V4.Bead object at 0x000002F291C82080>	2	3	7	8	3	False	299.0	M450-2025	M450-Strept	7
122.277	109.362	0	1617.965	1	<BeadTracker_V4.Bead object at 0x000002F291C83F40>	3	3	8	9	3	False	299.0	M450-2025	M450-Strept	8
122.378	109.82	0	5660.495	1	<BeadTracker_V4.Bead object at 0x000002F291C81570>	1	4	9	10	3	True	299.0	M450-2025	M450-Strept	9
122.3	109.628	0	3157.715	1	<BeadTracker_V4.Bead object at 0x000002F291C82CB0>	2	4	10	11	3	False	299.0	M450-2025	M450-Strept	10
122.213	109.199	0	1671.471	1	<BeadTracker_V4.Bead object at 0x000002F291C80AF0>	3	4	11	12	3	False	299.0	M450-2025	M450-Strept	11
122.283	109.78	0	5727.194	1	<BeadTracker_V4.Bead object at 0x000002F291C816F0>	1	5	12	13	3	True	295.0	M450-2025	M450-Strept	12
122.314	109.945	0	3172.599	1	<BeadTracker_V4.Bead object at 0x000002F291C82DA0>	2	5	13	14	3	False	295.0	M450-2025	M450-Strept	13
122.187	109.257	0	1692.644	1	<BeadTracker_V4.Bead object at 0x000002F292EB12D0>	3	5	14	15	3	False	295.0	M450-2025	M450-Strept	14
122.425	109.931	0	5834.738	1	<BeadTracker_V4.Bead object at 0x000002F292EB05B0>	1	6	15	16	3	True	292.0	M450-2025	M450-Strept	15
122.398	109.811	0	3235.454	1	<BeadTracker_V4.Bead object at 0x000002F292EB17E0>	2	6	16	17	3	False	292.0	M450-2025	M450-Strept	16
122.329	109.097	0	1693.168	1	<BeadTracker_V4.Bead object at 0x000002F292EB2260>	3	6	17	18	3	False	292.0	M450-2025	M450-Strept	17
122.341	109.812	0	5827.647	1	<BeadTracker_V4.Bead object at 0x000002F292EB38E0>	1	7	18	19	3	True	291.0	M450-2025	M450-Strept	18
122.325	109.904	0	3263.827	1	<BeadTracker_V4.Bead object at 0x000002F292EB2320>	2	7	19	20	3	False	291.0	M450-2025	M450-Strept	19
122.259	109.42	0	1709.665	1	<BeadTracker_V4.Bead object at 0x000002F292EB3A90>	3	7	20	21	3	False	291.0	M450-2025	M450-Strept	20
122.27	109.97	0	5773.993	1	<BeadTracker_V4.Bead object at 0x000002F292EB3550>	1	8	21	22	3	True	293.0	M450-2025	M450-Strept	21
122.306	109.883	0	3276.224	1	<BeadTracker_V4.Bead object at 0x000002F291B8FF70>	2	8	22	23	3	False	293.0	M450-2025	M450-Strept	22
122.284	109.078	0	1680.826	1	<BeadTracker_V4.Bead object at 0x000002F291B8D000>	3	8	23	24	3	False	293.0	M450-2025	M450-Strept	23
122.315	109.75	0	5740.522	1	<BeadTracker_V4.Bead object at 0x000002F291B8D3C0>	1	9	24	25	3	True	293.0	M450-2025	M450-Strept	24
122.298	109.881	0	3218.485	1	<BeadTracker_V4.Bead object at 0x000002F291B8DC60>	2	9	25	26	3	False	293.0	M450-2025	M450-Strept	25
122.211	109.469	0	1686.933	1	<BeadTracker_V4.Bead object at 0x000002F291B8C5E0>	3	9	26	27	3	False	293.0	M450-2025	M450-Strept	26
122.183	109.89	0	5775.128	1	<BeadTracker_V4.Bead object at 0x000002F291B8DE10>	1	10	27	28	3	True	292.0	M450-2025	M450-Strept	27
122.166	109.998	0	3237.018	1	<BeadTracker_V4.Bead object at 0x000002F291B8E1D0>	2	10	28	29	3	False	292.0	M450-2025	M450-Strept	28
122.163	109.209	0	1692.628	1	<BeadTracker_V4.Bead object at 0x000002F292C79540>	3	10	29	30	3	False	292.0	M450-2025	M450-Strept	29
122.179	109.946	-1	3220.221	1	<BeadTracker_V4.Bead object at 0x000002F292C79360>	0	0	30	31	3	True	310.0	M450-2025	M450-Strept	30
122.217	109.956	-1	3215.479	1	<BeadTracker_V4.Bead object at 0x000002F292C78FD0>	0	0	31	32	3	True	310.0	M450-2025	M450-Strept	31
122.236	109.901	-1	3238.68	1	<BeadTracker_V4.Bead object at 0x000002F292C7B1F0>	0	0	32	33	3	True	308.0	M450-2025	M450-Strept	32
122.244	110.033	-1	3188.717	1	<BeadTracker_V4.Bead object at 0x000002F292C7AEF0>	0	0	33	34	3	True	309.0	M450-2025	M450-Strept	33
122.249	109.911	-1	3233.108	1	<BeadTracker_V4.Bead object at 0x000002F292C7A5C0>	0	0	34	35	3	True	308.0	M450-2025	M450-Strept	34
122.152	110.021	-1	3222.757	1	<BeadTracker_V4.Bead object at 0x000002F292C7BE50>	0	0	35	36	3	True	307.0	M450-2025	M450-Strept	35
122.184	109.939	-1	3211.891	1	<BeadTracker_V4.Bead object at 0x000002F292AD4880>	0	0	36	37	3	True	307.0	M450-2025	M450-Strept	36
122.138	109.759	-1	3244.383	1	<BeadTracker_V4.Bead object at 0x000002F292AD76D0>	0	0	37	38	3	True	306.0	M450-2025	M450-Strept	37
122.047	110.029	-1	3259.512	1	<BeadTracker_V4.Bead object at 0x000002F292AD5120>	0	0	38	39	3	True	307.0	M450-2025	M450-Strept	38
122.107	109.714	-1	3234.097	1	<BeadTracker_V4.Bead object at 0x000002F292AD6A70>	0	0	39	40	3	True	308.0	M450-2025	M450-Strept	39
121.987	109.918	-1	3257.593	1	<BeadTracker_V4.Bead object at 0x000002F291B93BB0>	0	0	40	41	3	True	307.0	M450-2025	M450-Strept	40
121.952	109.869	-1	3243.217	1	<BeadTracker_V4.Bead object at 0x000002F291B93040>	0	0	41	42	3	True	309.0	M450-2025	M450-Strept	41
121.859	109.922	-1	3233.794	1	<BeadTracker_V4.Bead object at 0x000002F291B930A0>	0	0	42	43	3	True	307.0	M450-2025	M450-Strept	42
121.904	110.026	-1	3235.429	1	<BeadTracker_V4.Bead object at 0x000002F291B92950>	0	0	43	44	3	True	310.0	M450-2025	M450-Strept	43
121.994	109.819	-1	3222.548	1	<BeadTracker_V4.Bead object at 0x000002F291B92260>	0	0	44	45	3	True	308.0	M450-2025	M450-Strept	44
121.913	109.972	-1	3234.63	1	<BeadTracker_V4.Bead object at 0x000002F291B91060>	0	0	45	46	3	True	307.0	M450-2025	M450-Strept	45
121.964	109.827	-1	3223.583	1	<BeadTracker_V4.Bead object at 0x000002F291B91030>	0	0	46	47	3	True	307.0	M450-2025	M450-Strept	46
121.967	109.889	-1	3242.041	1	<BeadTracker_V4.Bead object at 0x000002F291B930D0>	0	0	47	48	3	True	305.0	M450-2025	M450-Strept	47
121.849	110.051	-1	3271.989	1	<BeadTracker_V4.Bead object at 0x000002F299056D40>	0	0	48	49	3	True	305.0	M450-2025	M450-Strept	48
121.933	109.944	-1	3271.122	1	<BeadTracker_V4.Bead object at 0x000002F291B1FF40>	0	0	49	50	3	True	306.0	M450-2025	M450-Strept	49
121.851	110.096	-1	3253.888	1	<BeadTracker_V4.Bead object at 0x000002F291B1C700>	0	0	50	51	3	True	305.0	M450-2025	M450-Strept	50
121.855	109.995	-1	3256.672	1	<BeadTracker_V4.Bead object at 0x000002F291B1CF10>	0	0	51	52	3	True	305.0	M450-2025	M450-Strept	51
121.895	110.046	-1	3310.011	1	<BeadTracker_V4.Bead object at 0x000002F291B1E200>	0	0	52	53	3	True	303.0	M450-2025	M450-Strept	52
121.925	110.168	-1	3259.876	1	<BeadTracker_V4.Bead object at 0x000002F291B1DAE0>	0	0	53	54	3	True	304.0	M450-2025	M450-Strept	53
121.902	109.934	-1	3287.006	1	<BeadTracker_V4.Bead object at 0x000002F291B1F940>	0	0	54	55	3	True	302.0	M450-2025	M450-Strept	54
121.912	110.26	-1	3251.094	1	<BeadTracker_V4.Bead object at 0x000002F291B1FD90>	0	0	55	56	3	True	302.0	M450-2025	M450-Strept	55
121.876	110.119	-1	3290.029	1	<BeadTracker_V4.Bead object at 0x000002F291B1D690>	0	0	56	57	3	True	303.0	M450-2025	M450-Strept	56
121.921	110.167	-1	3310.936	1	<BeadTracker_V4.Bead object at 0x000002F2990963B0>	0	0	57	58	3	True	302.0	M450-2025	M450-Strept	57
121.922	110.21	-1	3286.019	1	<BeadTracker_V4.Bead object at 0x000002F299096050>	0	0	58	59	3	True	302.0	M450-2025	M450-Strept	58
121.926	110.039	-1	3286.029	1	<BeadTracker_V4.Bead object at 0x000002F2990958A0>	0	0	59	60	3	True	301.0	M450-2025	M450-Strept	59
121.85	110.123	-1	3271.902	1	<BeadTracker_V4.Bead object at 0x000002F299094D30>	0	0	60	61	3	True	302.0	M450-2025	M450-Strept	60
121.912	109.992	-1	3287.084	1	<BeadTracker_V4.Bead object at 0x000002F299097400>	0	0	61	62	3	True	301.0	M450-2025	M450-Strept	61
121.861	110.134	-1	3271.881	1	<BeadTracker_V4.Bead object at 0x000002F2990976A0>	0	0	62	63	3	True	301.0	M450-2025	M450-Strept	62
121.881	110.142	-1	3279.875	1	<BeadTracker_V4.Bead object at 0x000002F299095780>	0	0	63	64	3	True	300.0	M450-2025	M450-Strept	63
121.863	110.086	-1	3316.042	1	<BeadTracker_V4.Bead object at 0x000002F292912620>	0	0	64	65	3	True	299.0	M450-2025	M450-Strept	64
121.819	110.236	-1	3283.623	1	<BeadTracker_V4.Bead object at 0x000002F2929139A0>	0	0	65	66	3	True	300.0	M450-2025	M450-Strept	65
121.755	109.97	-1	3327.769	1	<BeadTracker_V4.Bead object at 0x000002F292912710>	0	0	66	67	3	True	299.0	M450-2025	M450-Strept	66
121.801	110.112	-1	3279.604	1	<BeadTracker_V4.Bead object at 0x000002F292912020>	0	0	67	68	3	True	297.0	M450-2025	M450-Strept	67
121.862	110.103	-1	3322.159	1	<BeadTracker_V4.Bead object at 0x000002F295B3E320>	0	0	68	69	3	True	300.0	M450-2025	M450-Strept	68
